index,Finnish,frequency,English
102,mistä,139529,where from
103,selvä,138928,clear
104,yksi,137385,one
105,te,136012,you
106,juuri,135472,just
107,näin,133771,thus
108,halua,131260,want
109,pitäisi,131045,should
110,kuinka,128652,how
111,vai,128005,or
112,koko,127255,size
113,joku,127252,someone
114,meillä,126904,at our house
115,olin,126691,i was
116,kaksi,125675,two
117,hänelle,124313,him
118,mennä,123900,go
119,koskaan,122931,ever
120,tästä,122191,from here
121,tietää,121474,know
122,kai,118537,probably
123,mies,116982,man
124,joten,115796,so
125,aivan,115060,right
126,voin,114266,I can
127,ihan,111511,quite
128,no,111356,Well
129,siis,111212,therefore
130,totta,111093,true
131,isä,110389,father
132,entä,109696,what about
133,aika,108294,time
134,siihen,108107,thereto
135,mene,106883,go
136,oikein,105841,properly
137,kuten,105630,like
138,vähän,105433,little
139,olette,102842,are
140,edes,100703,at least
141,teet,100552,do
142,äiti,99554,Mum
143,eikä,99316,and not
144,todella,97320,really
145,hyvää,97200,good
146,voit,96699,you can
147,aikaa,95906,time
148,kukaan,95906,anyone
149,haluat,95106,you want
150,mukaan,95093,by
151,kunnossa,94425,okay
152,minusta,94240,about me
153,itse,94048,self
154,myös,93983,also
155,vaan,93364,but
156,sanoi,92828,said
157,sillä,92756,for
158,kaiken,92731,all
159,ettei,91122,lest
160,noin,90297,about
161,ulos,90124,out
162,hänellä,89268,she
163,auttaa,87886,help
164,taas,87405,again
165,jälkeen,87325,after
166,tulla,86797,become
167,katso,86685,Look
168,pidä,85936,keep
169,heidän,84725,their
170,päästä,84438,to be released
171,puhua,84146,talk
172,tänään,83978,today
173,sinusta,83889,about you
174,pahoillani,83838,sorry
175,kerro,83434,tell
176,tuli,83112,fire
177,vaikka,83000,although
178,niitä,82349,them
179,etkö,81757,not
180,liian,80998,too
181,meitä,80477,us
182,kotiin,80349,home
183,tee,79877,tea
184,muuta,79537,other
185,näyttää,79413,show
186,teidän,78572,yours
187,vuotta,78433,years
188,kiinni,78393,Closed
189,nähdä,75971,see
190,ilman,75259,free
191,tapahtui,74711,happened
192,nämä,74601,these
193,sinne,74091,there
194,mennään,74021,let's go
195,heti,73965,immediately
196,sanoa,73885,say
197,jotka,73828,that
198,haluatko,73519,Do you want
199,varmasti,73332,certainly
200,ette,73034,not
201,saat,72765,for
202,tähän,72226,over here
203,antaa,71828,give
204,tiedät,71769,you know
205,kolme,71655,three
206,tarvitse,71041,need
207,haluaa,70107,want
208,kertoa,70054,tell
209,ota,68836,take
210,meidät,68512,us
211,pian,68407,soon
212,odota,68382,Wait
213,saada,68328,get
214,menee,68190,go
215,teitä,67797,you
216,nähnyt,66828,saw
217,teen,66367,do
218,hänestä,65348,about him
219,luoja,65293,Creator
220,tehnyt,64576,done
221,enemmän,64481,more
222,täältä,64165,from here
223,tekee,63912,make
224,sanoin,63893,i said
225,vastaan,63523,against
226,n,62402,of
227,usko,62142,belief
228,heidät,62036,them
229,olevan,61995,to be
230,takia,61892,because of
231,sisään,61802,in
232,käy,61655,go
233,poika,61632,son
234,jonka,61352,whom
235,voimme,61351,we can
236,olit,61303,you were
237,asia,61206,thing
238,heitä,61194,them
239,olivat,60970,were
240,sain,60780,i got
241,meille,60727,us
242,piti,60637,held
243,luulin,60559,I thought
244,varmaan,59281,will
245,yhä,59024,still
246,sano,58855,say
247,hienoa,58736,fine
248,tuon,58718,that
249,ikinä,58404,ever
250,tuolla,58342,there
251,teille,58105,to you
252,tiedätkö,57910,you know
253,varma,57702,sure
254,yhdessä,57262,together
255,rakastan,57205,i love
256,joo,56652,Yeah
257,juttu,56469,thing
258,tarvitsen,56272,I need
259,kuollut,56267,dead
260,siksi,55917,because
261,voisi,55864,could
262,oikeassa,55688,right
263,ottaa,55122,take
264,ajan,55100,I drive
265,kerran,54643,once
266,mihin,54541,where
267,lähteä,54483,go
268,minne,54300,where
269,yhtä,54061,equally
270,tappaa,53575,kill
271,teki,53128,made
272,valmis,53118,ready
273,toinen,53055,second
274,tapahtuu,53043,occurs
275,ihmiset,52617,people
276,pidän,52479,I like
277,silloin,52358,then
278,hauskaa,51874,funny
279,voinut,51259,could
280,tulen,51203,fire
281,pitänyt,51202,kept
282,tyttö,51133,girl
283,teillä,51024,at your place
284,teidät,50906,you
285,nainen,50859,woman
286,rouva,50780,Mrs
287,kyse,50588,all about
288,kauan,50509,long
289,rahaa,50450,money
290,ensin,50398,first
291,enkä,50256,and i don't
292,yksin,50012,alone
293,joskus,49761,sometimes
294,olisin,49512,i would
295,tosi,48838,true
296,lisää,48725,more
297,apua,48405,Help
298,tuota,48258,produce
299,sai,48252,received
300,oliko,48198,Was
301,lopeta,48171,stop
302,kulta,47682,gold
303,meni,47677,go
304,päivä,47634,day
305,pari,47484,pair
306,tällä,47168,bridge
307,kertaa,47056,times
308,tohtori,47002,doctor
309,tuntuu,46916,feel
310,menen,46798,i go
311,päivää,46798,days
312,jotta,46679,so
313,huomenna,46472,tomorrow
314,myöhemmin,46313,later
315,uusi,46090,new
316,tavata,45631,meet
317,sanoit,45555,you said
318,niinkö,45522,Really
319,älkää,45430,start
320,halusin,45405,I wanted
321,nähdään,45389,See you
322,ainoa,45306,only
323,odottaa,44692,expect
324,saanut,44635,obtained
325,jonkun,44505,someone
326,milloin,44274,When
327,minäkin,43954,me too
328,saan,43887,i get
329,etten,43254,not
330,paras,43041,best
331,yhden,43025,one
332,silti,42572,still
333,asiaa,42190,issue
334,parempi,42173,better
335,vie,42070,take
336,jota,41762,whom
337,osaa,41745,part
338,viime,41624,last
339,alas,41570,down
340,paikka,41482,place
341,tein,41480,i made
342,kuuluu,41282,belong to
343,mikään,41139,any
344,teit,41023,you
345,ihmisiä,40913,people
346,ketään,40897,anyone
347,ajattelin,40694,i thought
348,ylös,40543,up
349,okei,40165,okay
350,jotakin,40156,something
351,alkaa,40133,start
352,miehen,39954,male
353,ymmärrän,39837,I understand
354,hetki,39837,moment
355,ohi,39196,past
356,ymmärrä,39104,understand
357,sama,39029,same
358,hieman,38827,slightly
359,yli,38799,over
360,muista,38764,remember
361,yritän,38489,i will try
362,kuuntele,38327,listen
363,oletteko,38267,do you
364,sir,38207,sir
365,tullut,38144,come
366,pieni,38005,small
367,oikea,37943,right
368,riittää,37395,enough
369,tiennyt,37102,knew
370,minkä,36694,for which
371,asioita,36645,things
372,tulin,36576,I came
373,jokin,36554,one
374,isäni,36208,my father
375,teemme,36201,We're doing
376,neiti,36178,miss
377,jossa,36122,where
378,toivottavasti,36073,hopefully
379,tarkoittaa,36028,mean
380,vanha,36001,old
381,kuoli,35801,died
382,poissa,35760,Absent
383,läpi,35707,through
384,voisin,35578,i could
385,muuten,35515,otherwise
386,soittaa,35478,call
387,halunnut,35439,desired
388,otan,35419,I will take
389,haluaisin,35314,I would like to
390,saanko,35314,can I
391,pyydän,35297,Please
392,minuun,35293,me
393,puhu,35280,talk
394,nopeasti,35156,quickly
395,oikeasti,35142,for real
396,voinko,35139,can i
397,kanssasi,35047,With you
398,täysin,35030,completely
399,nimi,34952,name
400,kunnes,34942,until
401,hyvältä,34928,well
402,löytää,34813,find
403,vasta,34787,only
404,tarpeeksi,34784,enough
405,iso,34698,major
406,töitä,34658,work
407,olisit,34512,you would
408,käyttää,34512,use
409,poliisi,34415,police
410,asti,34401,until
411,heille,34319,them
412,viisi,34303,five
413,ettet,34238,not
414,irti,34147,loose
415,kohta,34104,paragraph
416,kuulostaa,34072,sound
417,luulen,34042,i guess
418,kuitenkin,34009,however
419,tahansa,33902,any
420,isäsi,33821,your father
421,kiltti,33792,kind
422,vuoden,33748,year
423,tulossa,33266,pending
424,yrittää,33128,try
425,samaa,33109,the same
426,kiva,32999,nice
427,ainakin,32990,at least
428,tulkaa,32972,come on
429,hiljaa,32961,shut up
430,mukana,32958,with
431,eli,32890,or
432,sellaista,32521,that
433,miltä,32446,any
434,pakko,32235,forced
435,ensimmäinen,32127,first
436,eilen,31801,yesterday
437,neljä,31641,four
438,rahat,31628,money
439,kaunis,31592,beautiful
440,pysy,31567,stay
441,kello,31501,clock
442,liikaa,31399,too much
443,kuulin,31336,i heard
444,tunnen,31268,I feel
445,senkin,31186,well
446,mieltä,31127,view
447,varten,31109,for
448,sanoo,31091,says
449,mukava,31077,nice
450,tarkoitat,31023,you mean
451,dollaria,30999,dollars
452,hitto,30959,deuce
453,muut,30957,other
454,kerron,30826,tell
455,kotona,30826,at home
456,asian,30825,issue
457,kertonut,30807,told
458,niistä,30754,about them
459,melkein,30716,almost
460,kertoi,30507,told
461,näytä,30464,show
462,sait,30435,do
463,siltä,30312,bridge
464,meistä,30286,about us
465,kuulla,30254,hear
466,toisen,30243,another
467,tunne,30223,feeling
468,paska,30195,shit
469,kuullut,30116,heard
470,kaveri,29960,guy
471,näen,29880,i see
472,hieno,29615,fine
473,luulet,29423,you think
474,eri,29368,different
475,pysty,29227,upright
476,halusi,29221,wanted
477,jopa,29173,even
478,uskoa,29161,believe
479,tehdään,29126,make
480,osa,29098,part
481,hauska,28995,fun
482,kapteeni,28980,captain
483,olimme,28965,We were
484,auta,28913,help
485,paitsi,28805,except
486,uuden,28782,new
487,kanssani,28716,with me
488,äitisi,28635,your mother
489,luuletko,28628,do you think
490,tänä,28594,With this
491,john,28527,John
492,kanssaan,28431,with
493,puhut,28422,talk
494,vuoksi,28406,because of
495,suoraan,28400,directly
496,näytät,28391,you look
497,kaikkea,28339,all
498,aikaan,28304,on
499,päivän,28277,day
500,haloo,28208,Hello
501,mikset,28158,why not
502,sieltä,28096,from there
503,voitte,28032,can
504,kävi,28026,visited
505,uskon,27854,I believe
506,tietenkin,27834,Of course
507,ystäväni,27823,my friend
508,löysin,27739,i found
509,minuuttia,27712,minute
510,asiat,27596,things
511,hätää,27573,worry
512,toki,27516,Sure
513,maailman,27506,world
514,nuo,27498,those
515,tietysti,27370,Of course
516,palaa,27342,burn
517,kuule,27270,Listen
518,pikku,27268,little
519,tarvitsee,27184,needs
520,jumala,27079,God
521,maksaa,27056,pay
522,tarvitsemme,27036,We need
523,hetkinen,27031,Wait a minute
524,new,26946,new
525,auto,26893,car
526,tuntia,26863,hours
527,tapahtunut,26841,happened
528,soita,26802,call
529,sanonut,26742,say
530,voitko,26716,can you
531,mä,26709,to
532,sille,26646,to
533,jää,26597,ice
534,menossa,26597,on
535,jolla,26578,whereby
536,tervetuloa,26534,welcome
537,lähellä,26484,near
538,työtä,26480,work
539,elää,26452,to live
540,kovin,26369,very
541,pojat,26289,boys
542,sanon,26283,say
543,ongelma,26276,problem
544,yötä,26228,night
545,jätä,26212,drift net
546,hullu,26174,crazy
547,saamme,26174,we get
548,muita,26147,other
549,sinuun,26144,to you
550,näe,26135,see
551,minulta,26121,from me
552,tiesin,26106,i knew
553,katsokaa,26051,look at
554,sellainen,26021,such
555,jättää,25834,leave
556,tavalla,25783,in a way
557,ai,25738,Oh
558,lapset,25714,children
559,aiemmin,25705,previously
560,tapa,25539,way
561,ensi,25508,next
562,viedä,25471,to take
563,menkää,25421,go
564,huomenta,25390,Good morning
565,niiden,25336,their
566,yhtään,25333,any
567,jack,25272,jack
568,yritä,25193,try
569,muistatko,25170,Do you remember
570,vuonna,25132,in
571,tarkoitan,25125,I mean
572,sopii,25092,fits
573,parasta,25077,The best
574,päivänä,25020,on the day
575,äitini,24947,my mom
576,viimeinen,24939,last
577,helvetti,24895,hell
578,soitan,24856,I will call
579,onnea,24849,congratulations
580,sehän,24794,that
581,oma,24683,own
582,terve,24644,Hey
583,samoin,24635,likewise
584,heillä,24596,they have
585,välitä,24519,care about
586,annan,24496,give
587,suuri,24477,large
588,tiedämme,24472,we know
589,ihminen,24447,man
590,hoitaa,24405,to take care
591,vaivaa,24381,trouble
592,huono,24346,bad
593,hyvät,24258,good
594,miestä,24216,man
595,jäädä,24111,stay
596,tulit,24096,you came
597,molemmat,24071,both
598,heistä,24060,out of them
599,vaikea,24034,difficult
600,sanot,23982,say
601,aamulla,23911,in the morning
602,olkaa,23906,be
603,kysyä,23892,ask
604,väärin,23733,wrong
605,väliä,23730,round
606,mahtavaa,23716,great
607,paremmin,23646,better
608,viitsi,23641,bite
609,muka,23578,supposedly
610,tulevat,23546,come
611,päälle,23545,on
612,monta,23540,various
613,luo,23527,round
614,kahden,23482,the two of you
615,pääse,23430,reach
616,vauhtia,23409,pace
617,olleet,23285,be
618,valmiina,23273,at the ready
619,teistä,23259,from you
620,aio,23218,intention
621,voivat,23213,can
622,käydä,23191,visit
623,onneksi,23166,fortunately
624,miehet,23156,gentlemen
625,lähde,23141,source
626,vastaa,23123,answer
627,antoi,23110,gave
628,syytä,23103,reason
629,haluavat,23036,want
630,takana,23004,double cloth
631,joita,22978,whom
632,naisen,22976,woman
633,lapsi,22967,child
634,tuossa,22955,there
635,lähden,22865,leaving
636,uudelleen,22810,again
637,töissä,22760,at work
638,rauhoitu,22705,Take it easy
639,unohda,22669,forget
640,katsomaan,22644,watch
641,lähdetään,22607,let's go
642,naiset,22578,ladies
643,kaikkien,22577,all
644,aion,22556,i will
645,uutta,22522,new
646,toimi,22489,action
647,asiassa,22472,in
648,poikani,22412,my son
649,saattaa,22374,may
650,yritin,22373,i tried
651,toimii,22357,work
652,tärkeää,22308,important
653,paha,22191,evil
654,sisällä,22149,indoors
655,uudestaan,22143,re-
656,pidät,22051,do you like
657,tuskin,22010,hardly
658,muistan,21956,i remember
659,etkä,21923,and not
660,lähti,21894,bay
661,taitaa,21871,know
662,ongelmia,21802,problems
663,tarvitset,21792,you need
664,tappoi,21775,killed
665,menemme,21757,we go
666,tunnin,21713,-hour
667,sinulta,21676,from you
668,kysymys,21629,question
669,voisit,21626,you could
670,ruokaa,21469,food
671,näitä,21422,these
672,kaikille,21415,for all
673,haluatte,21366,you want
674,iltana,21349,evening
675,ovi,21209,door
676,tekemään,21131,do
677,onkin,21127,is
678,sinäkin,21058,you too
679,tehty,21044,made
680,lapsia,21035,Children
681,elossa,21025,alive
682,aikana,21021,during
683,hoidan,20989,take care of
684,outoa,20952,strange
685,etsin,20927,I am looking for
686,kestä,20889,stand
687,ulkona,20852,outside
688,kuolla,20838,die
689,alkoi,20822,started
690,menet,20803,you go
691,muuttaa,20785,change
692,kunhan,20757,as long as
693,naimisiin,20698,to marry
694,aiot,20681,you plan
695,ase,20639,gun
696,elämä,20585,life
697,katsoa,20570,look
698,lopettaa,20561,stop
699,maan,20553,terrestrial
700,michael,20489,Michael
701,tyyppi,20489,type
702,häneen,20472,to him
703,täynnä,20471,full
704,hyviä,20447,good
705,auton,20446,car
706,tytön,20432,girl
707,voisimme,20406,we could
708,vittu,20328,fuck
709,puhun,20220,i speak
710,oikeastaan,20179,really
711,yleensä,20171,usually
712,avaa,20160,open
713,puoli,20142,half
714,sekä,20097,mixed
715,hakemaan,20096,apply for
716,joko,20072,either
717,kuusi,20060,six
718,tulet,19892,come
719,voisitko,19891,will you please
720,toivon,19880,I hope
721,vaikeaa,19875,hard
722,palata,19861,return
723,olemaan,19828,be
724,laita,19781,wing
725,hetken,19775,for a moment
726,ystäviä,19754,friends
727,jatkaa,19726,continue
728,muu,19677,other
729,ikävä,19673,tedious
730,töihin,19649,to work
731,tilanne,19649,situation
732,mahdollista,19608,possible
733,erittäin,19604,very
734,hätänä,19474,up
735,verta,19453,blood
736,tekevät,19424,make
737,helvettiä,19353,hell
738,vaikuttaa,19319,influence
739,seuraa,19207,follow
740,mukavaa,19164,nice
741,homma,19162,business
742,elämäni,19141,my life
743,istu,19128,sit
744,paikan,19108,place
745,pitkä,19091,long
746,saisi,19075,should
747,luona,19028,by
748,kuulemma,18992,reportedly
749,lupaan,18968,I promise
750,käynyt,18944,visited
751,vaimoni,18936,my wife
752,vettä,18894,water
753,nuori,18894,young
754,kaikkia,18851,all
755,nimeni,18830,My name
756,alla,18795,below
757,ovatko,18752,do
758,auki,18751,open
759,kenen,18726,whose
760,pyytää,18718,request
761,ollaan,18717,be on
762,saimme,18691,we got
763,tehtävä,18689,mission
764,oman,18641,one's own
765,yhteen,18635,together
766,sä,18626,you
767,kestää,18616,take
768,sanotaan,18610,let's say
769,paikalla,18609,present
770,taida,18596,tained
771,jokainen,18515,every
772,haluamme,18507,we want
773,saatte,18465,obtain
774,vihainen,18444,mad
775,jutella,18442,chat
776,puolesta,18390,on behalf of
777,olekin,18385,well
778,antakaa,18236,let
779,teette,18216,do
780,ystävä,18168,friend
781,turvassa,18147,in security
782,eihän,18128,not
783,usein,18110,often
784,välillä,18052,between
785,tytöt,17984,Girls
786,uskomatonta,17974,unbelievable
787,voittaa,17971,win
788,josta,17819,whereof
789,miksei,17771,why not
790,luota,17671,from
791,iloinen,17660,cheerful
792,luottaa,17624,rely on
793,ihmisten,17603,people
794,häneltä,17577,from her
795,näetkö,17546,do you see
796,illalla,17541,in the evening
797,väärässä,17496,in danger
798,yritti,17494,tried
799,vitun,17464,fuck
800,näet,17414,you see
801,pelastaa,17384,to save
802,edessä,17368,in front
803,sentään,17328,at least
804,päällä,17316,on
805,tosiaan,17203,really
806,niinpä,17177,so
807,syy,17161,reason
808,kautta,17149,through
809,itsensä,17068,itself
810,onpa,17058,it is
811,soitti,16938,played
812,päin,16914,towards
813,ala,16888,area
814,mahtava,16876,spectacular
815,matkalla,16868,en route
816,päässä,16849,off
817,paljonko,16824,high
818,kerroin,16820,factor
819,alle,16795,under
820,viimeksi,16789,last
821,kymmenen,16777,ten
822,saavat,16755,get
823,sam,16751,sam
824,yhteyttä,16744,contact
825,sinähän,16726,to you
826,nimensä,16714,name
827,velkaa,16710,indebted
828,frank,16658,frank
829,kaukana,16635,far
830,näytän,16603,i look like
831,helppoa,16599,easy
832,haittaa,16599,disadvantage
833,toista,16582,repeat
834,lähtee,16562,goes
835,idea,16537,idea
836,haluaisi,16534,would want to
837,suomennos,16504,translation
838,olenko,16464,am i
839,nimesi,16452,your name
840,paskiainen,16430,son of a bitch
841,tapauksessa,16407,in case of
842,jutun,16404,stuck
843,haen,16387,I will
844,ajaa,16386,drive
845,kunnon,16373,good
846,kuolee,16340,die
847,jossain,16322,somewhere
848,samalla,16306,in the process
849,olemassa,16305,exist
850,puhuu,16290,speak
851,pelkää,16286,afraid of
852,herrat,16258,messrs
853,rakastaa,16228,love
854,fbi,16206,fibi
855,itseni,16201,myself
856,selittää,16171,explain
857,kultaseni,16155,sweetheart
858,vei,16115,veiled
859,tärkeä,16112,important
860,ymmärtää,16106,understand
861,katsotaan,16098,wait and see
862,kuulu,16076,belonging to
863,agentti,16060,agent
864,syö,15988,eat
865,charlie,15979,Charlie
866,tuosta,15954,that
867,veljeni,15929,my brother
868,maahan,15903,down
869,syödä,15899,eat
870,helvetin,15891,fucking
871,pojan,15847,son
872,mennyt,15831,gone
873,pitkään,15821,long
874,jotkut,15812,some
875,sisälle,15789,inside
876,odottakaa,15772,wait
877,ympäri,15770,around
878,eteenpäin,15764,ahead
879,loppuun,15750,out
880,pomo,15745,boss
881,luultavasti,15703,probably
882,vien,15693,expenditure
883,kuukautta,15683,months
884,odotan,15671,look forward to
885,seuraava,15637,next
886,eräs,15619,one
887,jumalan,15587,God
888,varo,15561,precautionary
889,tom,15559,tom
890,millainen,15552,kind
891,äidin,15526,maternal
892,pääsi,15520,flagstone
893,viikon,15506,weekly
894,ajatus,15494,thought
895,talo,15477,house
896,ostaa,15473,buy
897,ettekö,15472,do you not
898,kertoo,15470,tell
899,etsi,15469,search
900,talon,15432,house
901,isän,15428,paternal
902,otti,15410,took
903,huolta,15392,concern
904,olkoon,15385,be
905,tulisi,15376,should
906,tekisi,15337,would make
907,maailma,15319,world
908,kädet,15248,hands
909,saman,15233,the same
910,kohtaan,15181,towards
911,tarvitaan,15169,needed
912,kerta,15164,time
913,taidan,15139,I think
914,totuus,15125,truth
915,david,15090,David
916,ymmärrätkö,15087,Do you understand
917,numero,15069,number
918,mietin,15057,I think
919,alan,15049,Alan
920,itsesi,14956,yourself
921,käyn,14912,I go
922,kaikesta,14885,all
923,myöhässä,14874,late
924,voimmeko,14854,May we
925,asiasta,14853,on
926,selvää,14775,obvious
927,presidentti,14773,president
928,kovasti,14772,hard
929,pitäisikö,14707,should
930,george,14696,George
931,näki,14693,saw
932,palaan,14666,bounce
933,tietoa,14659,knowledge
934,itseäsi,14653,yourself
935,viikkoa,14637,weeks
936,aloittaa,14537,start
937,näkee,14488,see
938,tiesi,14466,knew
939,tuonne,14463,there
940,jatka,14459,jack
941,miljoonaa,14439,million
942,mieheni,14435,my husband
943,tajua,14384,realize
944,oltava,14364,have
945,jätti,14318,giant
946,pelkkä,14293,mere
947,häivy,14289,Get lost
948,kysy,14277,ask
949,loppu,14272,end
950,laittaa,14258,put
951,kauanko,14246,long
952,aiotko,14240,are you going to
953,avulla,14209,through
954,huoli,14202,worry
955,tällaista,14122,such
956,estää,14120,prevent
957,minähän,14100,me
958,annoin,14089,gave
959,tietenkään,14087,of course
960,tiedäthän,14050,you know
961,pyysi,14038,asked
962,muutaman,14034,a few
963,mike,14033,mike
964,perhe,14032,family
965,miehiä,13982,men
966,joe,13969,joe
967,rakas,13969,love
968,halusit,13968,you wanted
969,täydellinen,13920,perfect
970,kohti,13914,towards
971,naimisissa,13896,married
972,the,13882,the
973,käytä,13876,wear
974,selvittää,13869,sort out
975,peter,13826,peter
976,ottakaa,13826,take out
977,elämän,13807,life
978,uutisia,13801,news
979,jäljellä,13800,left
980,sattuu,13768,hurts
981,tapan,13757,tap
982,puhutaan,13747,let's talk
983,elämää,13725,life
984,lapsen,13723,child
985,muiden,13722,other
986,viikolla,13718,during the week
987,ajattele,13697,Just think
988,kahvia,13653,coffee
989,selville,13640,find out
990,ystäväsi,13626,your friend
991,menin,13622,i went
992,puolella,13618,on the side of
993,pitäkää,13604,keep
994,seitsemän,13589,seven
995,taisi,13586,would
996,pysyä,13525,stay
997,pääsee,13511,access
998,ylpeä,13503,proud
999,todisteita,13503,evidence
1000,lääkäri,13481,doctor
1001,löytyy,13480,be found
1002,totuuden,13470,truth
1003,tapaamaan,13460,to meet
1004,onnellinen,13390,happy
1005,vaimo,13385,wife
1006,tappanut,13315,killed
1007,jotenkin,13259,somehow
1008,kunnolla,13257,properly
1009,tiedätte,13233,you know
1010,s,13230,s
1011,ajatella,13207,think
1012,kaupungin,13200,town's
1013,enempää,13177,any more
1014,melko,13167,quite
1015,jäi,13166,missed
1016,johtaa,13146,to lead
1017,pidetään,13142,be held
1018,kuningas,13128,king
1019,vihaan,13114,hate
1020,suurin,13114,major
1021,tekemistä,13052,to do
1022,esiin,13041,out
1023,seis,13021,Stop
1024,otin,12999,I took
1025,lähettää,12992,send
1026,lisäksi,12991,in addition
1027,pahaa,12972,evil
1028,löytyi,12966,found
1029,katson,12958,I look at
1030,ilmeisesti,12951,apparently
1031,rauhassa,12936,in peace
1032,johtaja,12930,manager
1033,otetaan,12916,be taken
1034,kerralla,12907,at once
1035,sairas,12905,sick
1036,todellakin,12882,indeed
1037,vuosia,12882,for years
1038,vuosi,12876,year
1039,tietävät,12870,know
1040,ihana,12858,wonderful
1041,veli,12847,brother
1042,muutama,12844,one or two
1043,hae,12835,search
1044,antanut,12833,provided
1045,rauhaan,12825,in peace
1046,o,12816,o
1047,lähetti,12808,messenger
1048,yönä,12806,night
1049,ellei,12798,unless
1050,asuu,12797,lives
1051,olitte,12761,youled
1052,james,12751,James
1053,tarina,12750,shaking
1054,puhunut,12747,spoken
1055,keitä,12741,who
1056,tyttäreni,12723,my daughter
1057,tosissasi,12714,kidding
1058,minuutin,12673,minute
1059,uskonut,12672,believed
1060,hittoa,12648,hit
1061,tyhmä,12644,stupid
1062,millä,12630,whereby
1063,olekaan,12622,not
1064,kaverit,12614,guys
1065,nukkumaan,12598,to sleep
1066,todistaa,12583,evidence
1067,tarkoitus,12553,purpose
1068,idiootti,12548,idiot
1069,enpä,12546,no
1070,kusipää,12539,cunt
1071,poliisille,12527,to the police
1072,näytti,12525,looked
1073,lähdemme,12503,we go
1074,ainakaan,12501,at least
1075,autan,12480,i help
1076,pane,12462,pane
1077,ketä,12448,who
1078,ilta,12442,evening
1079,yön,12403,night
1080,mr,12392,mr
1081,ihmistä,12391,man
1082,teimme,12370,We did
1083,osaan,12357,part of
1084,etsiä,12351,search
1085,lähes,12350,nearly
1086,edelleen,12348,still
1087,eroon,12348,riddle
1088,omaa,12313,one's own
1089,koira,12302,dog
1090,uusia,12300,renew
1091,viesti,12282,message
1092,toin,12280,brought
1093,iltaa,12260,evening
1094,löysi,12258,found
1095,alusta,12254,chassis
1096,tekeillä,12251,afoot
1097,kahdeksan,12250,eight
1098,pidätkö,12214,do you like
1099,tuohon,12191,that
1100,arvaa,12188,guess
1101,lähtien,12179,since
1102,ihmisen,12177,human
1103,onnistu,12144,succeed
1104,hyvän,12138,good
1105,vankilaan,12122,in jail
1106,pyydä,12119,ask for
1107,suunnitelma,12116,plan
1108,äkkiä,12110,short
1109,tunnet,12109,you know
1110,varovainen,12099,careful
1111,mentävä,12089,go
1112,lopulta,12074,eventually
1113,mielestäni,12067,I think
1114,seksiä,12062,have sex
1115,loistava,12039,glorious
1116,tuntui,12026,felt
1117,löysimme,12006,We found
1118,ajatellut,11996,thinking about
1119,musta,11983,black
1120,nouse,11909,rise
1121,kiire,11904,hurry
1122,löydä,11902,discover
1123,kuluttua,11899,after
1124,puhumaan,11861,speak
1125,kuva,11858,picture
1126,upea,11848,magnificent
1127,yrität,11844,you try
1128,käymään,11831,visit
1129,kenraali,11829,general
